2016-4-1,0:0:0,202.120.0.41,202.120.57.18,80,TCP,1151,
2016-4-1,0:0:4,202.120.34.25,202.120.52.7,80,TCP,55788,
2016-4-1,0:0:56,69.168.20.9,202.120.26.4,443,TCP,57514,
2016-4-1,0:1:12,202.120.3.58,117.139.164.106,8080,TCP,92707,
2016-4-1,0:1:25,202.120.15.30,9.174.153.215,25,TCP,58324,
2016-4-1,0:1:29,60.169.41.102,202.120.45.16,443,TCP,31373,
2016-4-1,0:1:41,157.38.29.82,202.120.55.30,25,TCP,15292,
2016-4-1,0:2:21,202.120.1.43,9.174.153.215,80,TCP,75875,
2016-4-1,0:3:29,134.42.39.48,202.120.29.16,8080,TCP,81661,
2016-4-1,0:3:36,202.120.1.60,188.54.101.159,8080,TCP,92402,
2016-4-1,0:3:52,202.120.9.45,247.140.180.61,443,TCP,45155,
2016-4-1,0:4:56,247.140.180.61,202.120.24.51,80,TCP,71638,
2016-4-1,0:5:36,202.120.49.12,202.120.7.2,8080,TCP,27985,
2016-4-1,0:5:44,202.120.3.33,202.120.14.15,80,TCP,35440,
2016-4-1,0:6:9,202.120.15.17,209.239.99.119,25,TCP,14068,
2016-4-1,0:6:17,202.120.63.36,95.104.157.159,80,TCP,48717,
2016-4-1,0:6:17,202.120.36.46,202.120.35.13,80,TCP,78694,
2016-4-1,0:6:22,202.120.31.56,24.204.78.70,443,TCP,58322,
2016-4-1,0:6:48,202.120.0.27,172.46.201.157,25,TCP,3075,
2016-4-1,0:6:50,202.120.43.31,157.38.29.82,8080,TCP,23303,
2016-4-1,0:7:4,202.120.61.30,151.223.157.7,80,TCP,50370,
2016-4-1,0:7:18,202.120.15.33,248.128.169.2,8080,TCP,71364,
2016-4-1,0:8:17,119.168.164.225,202.120.19.26,80,TCP,61485,
2016-4-1,0:9:3,202.120.11.14,37.125.165.204,25,TCP,37722,
2016-4-1,0:9:31,202.120.5.56,95.104.157.159,80,TCP,81343,
2016-4-1,0:9:50,202.120.56.59,226.68.179.237,8080,TCP,41403,
2016-4-1,0:10:0,202.120.44.29,144.192.227.87,80,TCP,93183,
2016-4-1,0:10:2,202.120.5.31,202.120.55.22,443,TCP,44581,
